ID,Year,Title,Authors,Journal,Volume,Issue,Page start,Page end,Document Type,Abstract,Species,Cell Type,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,total
11,2007,HIV/gp120 Decreases Adult Neural Progenitor Cell Proliferation via Checkpoint Kinase-Mediated Cell-Cycle Withdrawal and G1 Arrest,"Okamoto, S.-i. # Kang, Y.-J. # Brechtel, C.W. # Siviglia, E. # Russo, R. # Clemente, A. # Harrop, A. # McKercher, S. # Kaul, M. # Lipton, S.A. #",Cell Stem Cell,1,2,230,236,Article,"Impaired adult neurogenesis has been observed in several neurodegenerative diseases, including human immunodeficiency virus (HIV-1)-associated dementia (HAD). Here we report that the HIV-envelope glycoprotein gp120, which is associated with HAD pathogenesis, inhibits proliferation of adult neural progenitor cells (aNPCs) in vitro and in vivo in the dentate gyrus of the hippocampus of HIV/gp120-transgenic mice. We demonstrate that HIV/gp120 arrests cell-cycle progression of aNPCs at the G1 phase via a cascade consisting of p38 mitogen-activated protein kinase (MAPK) _ MAPK-activated protein kinase 2 (a cell-cycle checkpoint kinase) _ Cdc25B/C. Our findings define a molecular mechanism that compromises adult neurogenesis in this neurodegenerative disorder. © 2007 Elsevier Inc. All rights reserved.",Mouse,Neural stem cell,0,1,7,9,8,14,11,6,11,4,71
12,2007,Generation of Induced Pluripotent Stem Cells in the Absence of Drug Selection,"Blelloch, R. # Venere, M. # Yen, J. # Ramalho-Santos, M. #",Cell Stem Cell,1,3,245,247,Letter,"Reprogramming of somatic cells to the pluripotent stem cell state may allow the development of in vitro models of disease and could provide a mechanism for the generation of patient-specific cells of therapeutic interest. Reprogramming of mouse fibroblasts into induced pluripotent stem cells, or iPS cells, has been achieved with overexpression of oct4, sox2, klf4, and c-myc and drug selection for the reactivation of a marker of pluripotency (Maherali et_al., 2007; Okita et_al., 2007; Takahashi and Yamanaka, 2006; Wernig et_al., 2007) (reviewed in Yamanaka, 2007). Here we show that n-myc can substitute for c-myc and that drug selection is dispensable for reprogramming of fibroblasts to pluripotent stem cells. We show that serum-free conditions facilitate reprogramming and that the resulting induced pluripotent_stem cells contribute extensively to teratomas and chimeras. Our findings greatly simplify the method for induction of pluripotency and bring_it_one step closer to clinical applications. © 2007 Elsevier Inc. All rights reserved.",Mouse,iPS cell,0,2,28,41,23,25,24,14,10,8,175
13,2007,An Epithelial Niche in the Drosophila Ovary Undergoes Long-Range Stem Cell Replacement,"Nystul, T. # Spradling, A. #",Cell Stem Cell,1,3,277,285,Article,"Adult epithelial stem cells are thought to reside in specific niches, where they are maintained by adhesion to stromal cells and by intercellular signals. In niches that harbor multiple adjacent stem cells, such as those maintaining Drosophila germ cells, lost stem cells are replaced by division of neighboring stem cells or reversion of transit cells. We have characterized the Drosophila follicle stem cell (FSC) niche as a model of the epithelial niche to learn whether nonneighboring cells can also generate stem cell replacements. Exactly two stroma-free FSC niches holding single FSCs are located in_fixed locations on opposite edges of the Drosophila ovariole. FSC daughters regularly migrate across the width of the ovariole to the other niche before proliferating and contributing to the follicle cell monolayer. Crossmigrating FSC daughters compete with the resident FSC for niche occupancy and are the source of replacement FSCs. The ability of stem cell daughters to target a distant niche and displace its resident stem cell suggests that precancerous mutations might spread from niche to niche within stem cell-based tissues. © 2007 Elsevier Inc. All rights reserved.",Other,Germ cell,0,1,11,13,13,10,12,10,11,9,90
14,2007,Whole-Genome Mapping of Histone H3 Lys4 and 27 Trimethylations Reveals Distinct Genomic Compartments in Human Embryonic Stem Cells,"Zhao, X.D. # Han, X. # Chew, J.L. # Liu, J. # Chiu, K.P. # Choo, A. # Orlov, Y.L. # Sung, W.-K. # Shahab, A. # Kuznetsov, V.A. # Bourque, G. # Oh, S. # Ruan, Y. # Ng, H.-H. # Wei, C.-L. #",Cell Stem Cell,1,3,286,298,Article,"Epigenetic modifications are crucial for proper lineage specification and embryo development. To explore the chromatin modification landscapes in human ES cells, we profiled two histone modifications, H3K4me3 and H3K27me3, by ChIP coupled with the paired-end ditags sequencing strategy. H3K4me3 was found to be a prevalent mark and occurred in close proximity to the promoters of two-thirds of total human genes. Among the H3K27me3 loci identified, 56% are associated with promoters and the vast majority of them are comodified by H3K4me3. By deep-transcript digital counting, 80% of H3K4me3 and 36% of comodified promoters were found to be transcribed. Remarkably, we observed that different combinations of histone methylations are associated with genes from distinct functional categories. These global histone methylation maps provide an epigenetic framework that enables the discovery of novel transcriptional networks and delineation of different genetic compartments of the pluripotent cell genome. © 2007 Elsevier Inc. All rights reserved.",Human,Embryonic stem cell,0,2,31,55,62,50,43,37,33,33,346
15,2007,Whole-Genome Analysis of Histone H3 Lysine 4 and Lysine 27 Methylation in Human Embryonic Stem Cells,"Pan, G. # Tian, S. # Nie, J. # Yang, C. # Ruotti, V. # Wei, H. # Jonsdottir, G.A. # Stewart, R. # Thomson, J.A. #",Cell Stem Cell,1,3,299,312,Article,"We mapped Polycomb-associated H3K27 trimethylation (H3K27me3) and Trithorax-associated H3K4 trimethylation (H3K4me3) across the whole genome in human embryonic stem (ES) cells. The vast majority of H3K27me3 colocalized on genes modified with H3K4me3. These comodified genes displayed low expression levels and were enriched in developmental function. Another significant set of genes lacked both modifications and was also expressed at low levels in ES cells but was enriched for gene function in physiological responses rather than development. Comodified genes could change expression levels rapidly during differentiation, but so could a substantial number of genes in other modification categories. SOX2, POU5F1, and NANOG, pluripotency-associated genes, shifted from modification by H3K4me3 alone to colocalization of both modifications as they were repressed during differentiation. Our results demonstrate that H3K27me3 modifications change during early differentiation, both relieving existing repressive domains and imparting new ones, and_that colocalization with H3K4me3 is not restricted to_pluripotent cells. © 2007 Elsevier Inc. All rights reserved.",Human,Embryonic stem cell,0,3,22,54,62,67,53,51,46,38,396
16,2007,Distinct Populations of Cancer Stem Cells Determine Tumor Growth and Metastatic Activity in Human Pancreatic Cancer,"Hermann, P.C. # Huber, S.L. # Herrler, T. # Aicher, A. # Ellwart, J.W. # Guba, M. # Bruns, C.J. # Heeschen, C. #",Cell Stem Cell,1,3,313,323,Article,"Pancreatic adenocarcinoma is currently the fourth leading cause for cancer-related mortality. Stem cells have been implicated in pancreatic tumor growth, but the specific role of these cancer stem cells in tumor biology, including metastasis, is still uncertain. We found that human pancreatic cancer tissue contains cancer stem cells defined by CD133 expression that are exclusively tumorigenic and highly resistant to standard chemotherapy. In the invasive front of pancreatic tumors, a distinct subpopulation of CD133+ CXCR4+ cancer stem cells was identified that determines the metastatic phenotype of the individual tumor. Depletion of the cancer stem cell pool for these migrating cancer stem cells virtually abrogated the metastatic phenotype of pancreatic tumors without affecting their tumorigenic potential. In conclusion, we demonstrate that a subpopulation of migrating CD133+ CXCR4+ cancer stem cells is essential for tumor metastasis. Strategies aimed at modulating the SDF-1/CXCR4 axis may have important clinical applications to inhibit metastasis of cancer stem cells. © 2007 Elsevier Inc. All rights reserved.",Human,Cancer stem cell,0,4,60,130,141,155,197,214,193,188,1282
17,2007,Unique and Independent Roles for MLL in Adult Hematopoietic Stem Cells and Progenitors,"Jude, C.D. # Climer, L. # Xu, D. # Artinger, E. # Fisher, J.K. # Ernst, P. #",Cell Stem Cell,1,3,324,337,Article,"The Mixed Lineage Leukemia (MLL) gene is essential for embryonic hematopoietic stem cell (HSC) development, but its role during adult hematopoiesis is unknown. Using an inducible knockout model, we demonstrate that Mll is essential for the maintenance of adult HSCs and progenitors, with fatal bone marrow failure occurring within 3 weeks of Mll deletion. Mll-deficient cells are selectively lost from mixed bone marrow chimeras, demonstrating their failure to self-renew even in an intact bone marrow environment. Surprisingly, HSCs lacking Mll exhibit ectopic cell-cycle entry, resulting in the depletion of quiescent HSCs. In contrast, Mll deletion in myelo-erythroid progenitors results in reduced proliferation and reduced response to cytokine-induced cell-cycle entry. Committed lymphoid and myeloid cells no longer require Mll, defining the early multipotent stages of hematopoiesis as Mll dependent. These studies demonstrate that Mll plays selective and independent roles within the hematopoietic system, maintaining quiescence in HSCs and promoting proliferation in progenitors. © 2007 Elsevier Inc. All rights reserved.",Mouse,Hematopoietic stem cell,0,0,7,15,17,14,11,20,23,12,119
18,2007,Mll Has a Critical Role in Fetal and Adult Hematopoietic Stem Cell Self-Renewal,"McMahon, K.A. # Hiew, S.Y.-L. # Hadjur, S. # Veiga-Fernandes, H. # Menzel, U. # Price, A.J. # Kioussis, D. # Williams, O. # Brady, H.J.M. #",Cell Stem Cell,1,3,338,345,Article,"The Mixed Lineage Leukemia (Mll) gene is a homolog of Drosophila Trithorax commonly rearranged in infant leukemia. Comprehensive_analysis of the role of Mll in hematopoiesis in fetal and adult knockout mice has been prevented by the lethality of Mll-/- mice. We have established a conditional deletion model that allows us to study adult hematopoiesis in the absence of Mll. In this study, Mll-/- embryos survive to E16.5 and have reduced numbers of HSCs. The quiescent fraction of these HSCs is greatly reduced, and they are unable to compete with wild-type cells in transplantation assays. Mice with Mll expression conditionally deleted in the_hematopoietic system have grossly normal hematopoiesis in bone marrow, thymus, and spleen. However, transplanted Mll-deficient bone marrow cells are highly compromised in their ability to competitively reconstitute irradiated recipients. These results suggest a critical role for Mll in regulating stem cell self-renewal. © 2007 Elsevier Inc. All rights reserved.",Mouse,Hematopoietic stem cell,0,0,6,17,16,14,12,14,17,18,114
19,2007,Recombination Signatures Distinguish Embryonic Stem Cells Derived by Parthenogenesis and Somatic Cell Nuclear Transfer,"Kim, K. # Ng, K. # Rugg-Gunn, P.J. # Shieh, J.-H. # Kirak, O. # Jaenisch, R. # Wakayama, T. # Moore, M.A. # Pedersen, R.A. # Daley, G.Q. #",Cell Stem Cell,1,3,346,352,Article,"Parthenogenesis and somatic cell nuclear transfer (SCNT) are two methods for deriving embryonic stem (ES) cells that are genetically matched to the oocyte donor or somatic cell donor, respectively. Using genome-wide single nucleotide polymorphism (SNP) analysis, we demonstrate distinct signatures of genetic recombination that distinguish parthenogenetic ES cells from those generated by SCNT. We applied SNP analysis to the human ES cell line SCNT-hES-1, previously claimed to have been derived by SCNT, and present evidence that it represents a human parthenogenetic ES cell line. Genome-wide SNP analysis represents a means to validate the genetic provenance of an ES cell line. © 2007 Elsevier Inc. All rights reserved.",Human,Embryonic stem cell,0,3,18,9,12,17,10,12,4,6,91
20,2007,Colon Cancer Stem Cells Dictate Tumor Growth and Resist Cell Death by Production of Interleukin-4,"Todaro, M. # Alea, M.P. # Di Stefano, A.B. # Cammareri, P. # Vermeulen, L. # Iovino, F. # Tripodo, C. # Russo, A. # Gulotta, G. # Medema, J.P. # Stassi, G. #",Cell Stem Cell,1,4,389,402,Article,"A novel paradigm in tumor biology suggests that cancer growth is driven by stem-like cells within a tumor. Here, we describe the identification and characterization of such cells from colon carcinomas using the stem cell marker CD133 that accounts around 2% of the cells in human colon cancer. The CD133+ cells grow in vitro as undifferentiated tumor spheroids, and they are both necessary and sufficient to initiate tumor growth in immunodeficient mice. Xenografts resemble the original human tumor maintaining the rare subpopulation of tumorigenic CD133+ cells. Further analysis revealed that the CD133+ cells produce and utilize IL-4_to protect themselves from apoptosis. Consistently, treatment with IL-4R_ antagonist or anti-IL-4 neutralizing antibody strongly enhances the antitumor efficacy of standard chemotherapeutic drugs through selective sensitization of CD133+ cells. Our data suggest that colon tumor growth is dictated by stem-like cells that are treatment resistant due to the autocrine production of IL-4. © 2007 Elsevier Inc. All rights reserved.","Human, Mouse",Cancer stem cell,0,2,24,59,59,61,76,81,83,53,498
21,2007,Oct4 Expression Is Not Required for Mouse Somatic Stem Cell Self-Renewal,"Lengner, C.J. # Camargo, F.D. # Hochedlinger, K. # Welstead, G.G. # Zaidi, S. # Gokhale, S. # Scholer, H.R. # Tomilin, A. # Jaenisch, R. #",Cell Stem Cell,1,4,403,415,Article,"The Pou domain containing transcription factor Oct4 is a well-established regulator of pluripotency in the inner cell mass of the mammalian blastocyst as well as in embryonic stem cells. While it has been shown that the Oct4 gene is inactivated through a series of epigenetic modifications following implantation, recent studies have detected Oct4 activity in a variety of somatic stem cells and tumor cells. Based on these observations it has been suggested that Oct4 may also function in maintaining self-renewal of somatic stem cells and, in addition, may promote tumor formation. We employed a genetic approach to determine whether Oct4 is important for maintaining pluripotency in the stem cell compartments of several somatic tissues, including the intestinal epithelium, bone marrow (hematopoietic and mesenchymal lineages), hair follicle, brain, and liver. Oct4 gene ablation in these tissues revealed no abnormalities in homeostasis or regenerative capacity. We conclude that Oct4 is dispensable for both self-renewal and maintenance of somatic stem cells in the adult mammal. © 2007 Elsevier Inc. All rights reserved.",Mouse,Tissue stem cell,0,3,29,36,28,42,29,23,24,22,236
22,2007,Reciprocal Activation of GATA-1 and PU.1 Marks Initial Specification of Hematopoietic Stem Cells into Myeloerythroid and Myelolymphoid Lineages,"Arinobu, Y. # Mizuno, S.-i. # Chong, Y. # Shigematsu, H. # Iino, T. # Iwasaki, H. # Graf, T. # Mayfield, R. # Chan, S. # Kastner, P. # Akashi, K. #",Cell Stem Cell,1,4,416,427,Article,"A hierarchical hematopoietic development with myeloid versus lymphoid bifurcation has been proposed downstream of the multipotent progenitor (MPP) stage, based on prospective isolation of progenitors capable of generating only myeloerythroid cells (common myeloid progenitor, CMP) or only lymphocytes (common lymphoid progenitor, CLP). By utilizing GATA-1 and PU.1 transcription factor reporters, here_we identified progenitor populations that are precursors for either CMPs or CLPs. Two independent populations expressing either GATA-1 or PU.1 resided within the CD34+Sca-1+c-Kit+ MPP fraction. The GATA-1+ MPP displayed potent myeloerythroid potential without giving rise to lymphocytes, whereas the PU.1+ MPP showed granulocyte/monocyte/lymphoid-restricted progenitor activity without megakaryocyte/erythroid differentiation. Furthermore, GATA-1+ and_PU.1+ MPPs possessed huge expansion potential and differentiated into the original CMPs and CLPs, respectively. Thus, the reciprocal activation of GATA-1 and PU.1 primarily organizes the hematopoietic lineage fate decision to form the earliest hematopoietic branchpoint that comprises isolatable myeloerythroid and myelolymphoid progenitor populations. © 2007 Elsevier Inc. All rights reserved.",Mouse,Hematopoietic stem cell,0,2,13,24,19,23,11,16,20,16,144
23,2007,"Elucidation of the Phenotypic, Functional, and Molecular Topography of a Myeloerythroid Progenitor Cell Hierarchy","Pronk, C.J.H. # Rossi, D.J. # Månsson, R. # Attema, J.L. # Norddahl, G.L. # Chan, C.K.F. # Sigvardsson, M. # Weissman, I.L. # Bryder, D. #",Cell Stem Cell,1,4,428,442,Article,"The major myeloid blood cell lineages are generated from hematopoietic stem cells by differentiation through a series of increasingly committed progenitor cells. Precise characterization of intermediate progenitors is important for understanding fundamental differentiation processes and a variety of disease states, including leukemia. Here, we evaluated the functional in vitro and in vivo potentials of a range of prospectively isolated myeloid precursors with differential expression of CD150, Endoglin, and CD41. Our studies revealed a hierarchy of myeloerythroid progenitors with distinct lineage potentials. The global gene expression signatures of these subsets were consistent with their functional capacities, and hierarchical clustering analysis suggested likely lineage relationships. These studies provide valuable tools for understanding myeloid lineage commitment, including isolation of an early erythroid-restricted precursor, and add to existing models of hematopoietic differentiation by suggesting that progenitors of the innate and adaptive immune system can separate late, following the divergence of megakaryocytic/erythroid potential. © 2007 Elsevier Inc. All rights reserved.",Mouse,Hematopoietic stem cell,0,1,14,19,19,29,33,25,31,29,200
