name,Class,Acquired,Round,School,Position,Height (ft),Weight (lb),40 (s)
Datsun 200SX,32.9,4,119,100,2615,14.8,81,112.5
Datsun 210,31.8,4,85,65,2020,19.2,79,114
Datsun 210,37,4,85,65,1975,19.4,81,115.5
Datsun 210,40.8,4,85,65,2110,19.2,80,117
Datsun 280ZX,32.7,6,168,132,2910,11.4,80,118.5
Datsun 310 GX,38,4,91,67,1995,16.2,82,120
Datsun 310,37.2,4,86,65,2019,16.4,80,121.5
Datsun 510 (Wagon),28,4,97,92,2288,17,72,123
Datsun 510 Hatchback,37,4,119,92,2434,15,80,124.5
Datsun 510,27.2,4,119,97,2300,14.7,78,126
Datsun 610,22,4,108,94,2379,16.5,73,127.5
Datsun 710,24,4,119,97,2545,17,75,129
Datsun 710,32,4,83,61,2003,19,74,130.5
Datsun 810 Maxima,24.2,6,146,120,2930,13.8,81,132
Datsun 810,22,6,146,97,2815,14.5,77,133.5
Datsun B-210,32,4,85,70,1990,17,76,135
Datsun B210 GX,39.4,4,85,70,2070,18.6,78,136.5
Datsun B210,31,4,79,67,1950,19,74,138
Datsun F-10 Hatchback,33.5,4,85,70,1945,16.8,77,139.5
Datsun PL510,27,4,97,88,2130,14.5,70,141
Datsun PL510,27,4,97,88,2130,14.5,71,142.5
Dodge Aries SE,29,4,135,84,2525,16,82,144
Dodge Aries Wagon (Wagon),25.8,4,156,92,2620,14.4,81,145.5
