year,country,name,prize,chem,econ,lit,med,peace,physics,,
1917,Denmark,Karl Gjellerup,Literature,,,1,,,,,
1917,Denmark,Henrik Pontoppidan,Literature,,,1,,,,,
1984,Denmark,Niels K. Jerne,Medicine,,,,1,,,,
1943,Denmark,Henrik Dam,Medicine,,,,1,,,,
1926,Denmark,Johannes Fibiger,Medicine,,,,1,,,,
1920,Denmark,August Krogh,Medicine,,,,1,,,,
1903,Denmark,Niels Ryberg Finsen,Medicine,,,,1,,,,
1908,Denmark,Ernesto Teodoro Moneta,Peace,,,,,1,,,
1975,Denmark,Aage N. Bohr,Physics,,,,,,1,,
1975,Denmark,Ben R. Mottelson,Physics,,,,,,1,,
1922,Denmark,Niels Bohr,Physics,,,,,,1,,
1999,Egypt,Ahmed Zewail,Chemistry,1,,,,,,,
1988,Egypt,Naguib Mahfouz,Literature,,,1,,,,,
2005,Egypt,International Atomic Energy Agency ,Peace,,,,,1,,,
1978,Egypt,Menachem Begin,Peace,,,,,1,,,
1945,Finland,Artturi Virtanen,Chemistry,1,,,,,,,
1939,Finland,Frans Eemil Sillanp__,Literature,,,1,,,,,
2008,Finland,Albert Arnold (Al) Gore Jr.,Peace,,,,,1,,,
2005,France,Yves Chauvin,Chemistry,1,,,,,,,
1987,France,Jean-Marie Lehn,Chemistry,1,,,,,,,
1935,France,Irène Joliot-Curie,Chemistry,1,,,,,,,
1935,France,Fr_d_ric Joliot,Chemistry,1,,,,,,,
1912,France,Victor Grignard,Chemistry,1,,,,,,,
1912,France,Paul Sabatier,Chemistry,1,,,,,,,
1911,France,Marie Curie,Chemistry,1,,,,,,,
1906,France,Henri Moissan,Chemistry,1,,,,,,,
2014,France,Jean Tirole,Economics,,1,,,,,,
1988,France,Maurice Allais,Economics,,1,,,,,,
1983,France,Gerard Debreu,Economics,,1,,,,,,
2014,France,Patrick Modiano,Literature,,,1,,,,,
2008,France,Jean-Marie Gustave Le Cl_zio,Literature,,,1,,,,,
2000,France,Gao Xingjian,Literature,,,1,,,,,
1985,France,Claude Simon,Literature,,,1,,,,,
1964,France,Jean-Paul Sartre,Literature,,,1,,,,,
1960,France,Saint-John Perse,Literature,,,1,,,,,
1957,France,Albert Camus,Literature,,,1,,,,,
1952,France,François Mauriac,Literature,,,1,,,,,
1947,France,Andr_ Gide,Literature,,,1,,,,,
1937,France,Roger Martin du Gard,Literature,,,1,,,,,
1927,France,Henri Bergson,Literature,,,1,,,,,
1921,France,Anatole France,Literature,,,1,,,,,
1915,France,Romain Rolland,Literature,,,1,,,,,
1904,France,Fr_d_ric Mistral,Literature,,,1,,,,,
1901,France,Sully Prudhomme,Literature,,,1,,,,,
2011,France,Jules A. Hoffmann,Medicine,,,,1,,,,
2008,France,Françoise Barr_-Sinoussi,Medicine,,,,1,,,,
2008,France,Luc Montagnier,Medicine,,,,1,,,,
1980,France,Jean Dausset,Medicine,,,,1,,,,
1965,France,François Jacob,Medicine,,,,1,,,,
1965,France,Andr_ Lwoff,Medicine,,,,1,,,,
1965,France,Jacques Monod,Medicine,,,,1,,,,
1928,France,Charles Nicolle,Medicine,,,,1,,,,
1913,France,Charles Richet,Medicine,,,,1,,,,
1912,France,Alexis Carrel,Medicine,,,,1,,,,
1907,France,Alphonse Laveran,Medicine,,,,1,,,,
1968,France,United Nations Children's Fund ,Peace,,,,,1,,,
1952,France,L_on Jouhaux,Peace,,,,,1,,,
1951,France,Ralph Bunche,Peace,,,,,1,,,
1927,France,Ludwig Quidde,Peace,,,,,1,,,
1926,France,Gustav Stresemann,Peace,,,,,1,,,
1920,France,Woodrow Wilson,Peace,,,,,1,,,
1909,France,Klas Pontus Arnoldson,Peace,,,,,1,,,
1907,France,Theodore Roosevelt,Peace,,,,,1,,,
1901,France, ,Peace,,,,,1,,,
2012,France,Serge Haroche,Physics,,,,,,1,,
2007,France,Albert Fert,Physics,,,,,,1,,
1997,France,Claude Cohen-Tannoudji,Physics,,,,,,1,,
1992,France,Georges Charpak,Physics,,,,,,1,,
1991,France,Pierre-Gilles de Gennes,Physics,,,,,,1,,
1970,France,Louis N_el,Physics,,,,,,1,,
1966,France,Alfred Kastler,Physics,,,,,,1,,
1929,France,Louis de Broglie,Physics,,,,,,1,,
1926,France,Jean Baptiste Perrin,Physics,,,,,,1,,
1908,France,Gabriel Lippmann,Physics,,,,,,1,,
1903,France,Pierre Curie,Physics,,,,,,1,,
1903,France,Henri Becquerel,Physics,,,,,,1,,
1903,France,Marie Curie,Physics,,,,,,1,,
2014,Germany,Stefan W. Hell,Chemistry,1,,,,,,,
2007,Germany,Gerhard Ertl,Chemistry,1,,,,,,,
1988,Germany,Robert Huber,Chemistry,1,,,,,,,
1988,Germany,Hartmut Michel,Chemistry,1,,,,,,,
1988,Germany,Johann Deisenhofer,Chemistry,1,,,,,,,
1979,Germany,Georg Wittig,Chemistry,1,,,,,,,
1973,Germany,Ernst Otto Fischer,Chemistry,1,,,,,,,
1967,Germany,Manfred Eigen,Chemistry,1,,,,,,,
1963,Germany,Karl Ziegler,Chemistry,1,,,,,,,
1953,Germany,Hermann Staudinger,Chemistry,1,,,,,,,
1950,Germany,Kurt Alder,Chemistry,1,,,,,,,
1950,Germany,Otto Diels,Chemistry,1,,,,,,,
1944,Germany,Otto Hahn,Chemistry,1,,,,,,,
1939,Germany,Adolf Butenandt,Chemistry,1,,,,,,,
1938,Germany,Richard Kuhn,Chemistry,1,,,,,,,
1931,Germany,Friedrich Bergius,Chemistry,1,,,,,,,
1931,Germany,Carl Bosch,Chemistry,1,,,,,,,
1930,Germany,Hans Fischer,Chemistry,1,,,,,,,
1928,Germany,Adolf Windaus,Chemistry,1,,,,,,,
1927,Germany,Heinrich Wieland,Chemistry,1,,,,,,,
1925,Germany,Richard Zsigmondy,Chemistry,1,,,,,,,
1920,Germany,Walther Nernst,Chemistry,1,,,,,,,
1918,Germany,Fritz Haber,Chemistry,1,,,,,,,
1915,Germany,Richard Willst_tter,Chemistry,1,,,,,,,
1910,Germany,Otto Wallach,Chemistry,1,,,,,,,
1909,Germany,Wilhelm Ostwald,Chemistry,1,,,,,,,
1907,Germany,Eduard Buchner,Chemistry,1,,,,,,,
1905,Germany,Adolf von Baeyer,Chemistry,1,,,,,,,
1902,Germany,Emil Fischer,Chemistry,1,,,,,,,
1994,Germany,Reinhard Selten,Economics,,1,,,,,,
2009,Germany,Herta Mªller,Literature,,,1,,,,,
1999,Germany,Gªnter Grass,Literature,,,1,,,,,
1972,Germany,Heinrich B_ll,Literature,,,1,,,,,
1929,Germany,Thomas Mann,Literature,,,1,,,,,
1912,Germany,Gerhart Hauptmann,Literature,,,1,,,,,
1910,Germany,Paul Heyse,Literature,,,1,,,,,
1908,Germany,Rudolf Eucken,Literature,,,1,,,,,
1902,Germany,Theodor Mommsen,Literature,,,1,,,,,
2013,Germany,Thomas C. Sªdhof,Medicine,,,,1,,,,
2008,Germany,Harald zur Hausen,Medicine,,,,1,,,,
1995,Germany,Christiane Nªsslein-Volhard,Medicine,,,,1,,,,
1991,Germany,Erwin Neher,Medicine,,,,1,,,,
1991,Germany,Bert Sakmann,Medicine,,,,1,,,,
1984,Germany,Georges J.F. K_hler,Medicine,,,,1,,,,
1973,Germany,Karl von Frisch,Medicine,,,,1,,,,
1964,Germany,Feodor Lynen,Medicine,,,,1,,,,
1956,Germany,Werner Forssmann,Medicine,,,,1,,,,
1939,Germany,Gerhard Domagk,Medicine,,,,1,,,,
1935,Germany,Hans Spemann,Medicine,,,,1,,,,
1931,Germany,Otto Warburg,Medicine,,,,1,,,,
1922,Germany,Otto Meyerhof,Medicine,,,,1,,,,
1910,Germany,Albrecht Kossel,Medicine,,,,1,,,,
1908,Germany,Paul Ehrlich,Medicine,,,,1,,,,
1905,Germany,Robert Koch,Medicine,,,,1,,,,
1901,Germany,Emil von Behring,Medicine,,,,1,,,,
1971,Germany,Norman Borlaug,Peace,,,,,1,,,
1935,Germany,Arthur Henderson,Peace,,,,,1,,,
1927,Germany,Aristide Briand,Peace,,,,,1,,,
1926,Germany,Sir Austen Chamberlain,Peace,,,,,1,,,
2007,Germany,Peter Grªnberg,Physics,,,,,,1,,
2005,Germany,Theodor W. H_nsch,Physics,,,,,,1,,
2001,Germany,Wolfgang Ketterle,Physics,,,,,,1,,
2000,Germany,Herbert Kroemer,Physics,,,,,,1,,
1998,Germany,Horst L. St_rmer,Physics,,,,,,1,,
1989,Germany,Wolfgang Paul,Physics,,,,,,1,,
1987,Germany,J. Georg Bednorz,Physics,,,,,,1,,
1986,Germany,Gerd Binnig,Physics,,,,,,1,,
1986,Germany,Ernst Ruska,Physics,,,,,,1,,
1985,Germany,Klaus von Klitzing,Physics,,,,,,1,,
1963,Germany,J. Hans D. Jensen,Physics,,,,,,1,,
1961,Germany,Rudolf M_ssbauer,Physics,,,,,,1,,
1954,Germany,Walther Bothe,Physics,,,,,,1,,
1932,Germany,Werner Heisenberg,Physics,,,,,,1,,
1925,Germany,James Franck,Physics,,,,,,1,,
1925,Germany,Gustav Hertz,Physics,,,,,,1,,
1921,Germany,Albert Einstein,Physics,,,,,,1,,
1919,Germany,Johannes Stark,Physics,,,,,,1,,
1918,Germany,Max Planck,Physics,,,,,,1,,
1914,Germany,Max von Laue,Physics,,,,,,1,,
1911,Germany,Wilhelm Wien,Physics,,,,,,1,,
1909,Germany,Ferdinand Braun,Physics,,,,,,1,,
1905,Germany,Philipp Lenard,Physics,,,,,,1,,
1901,Germany,Wilhelm Conrad R_ntgen,Physics,,,,,,1,,
2001,Ghana,United Nations ,Peace,,,,,1,,,
1979,Greece,Odysseus Elytis,Literature,,,1,,,,,
1963,Greece,Giorgos Seferis,Literature,,,1,,,,,
1967,Guatemala,Miguel Angel Asturias,Literature,,,1,,,,,
1992,Guatemala,Aung San Suu Kyi,Peace,,,,,1,,,
1943,Hungary,George de Hevesy,Chemistry,1,,,,,,,
2002,Hungary,Imre Kert_sz,Literature,,,1,,,,,
1937,Hungary,Albert Szent-Gy_rgyi,Medicine,,,,1,,,,
1955,Iceland,Halld‹r Laxness,Literature,,,1,,,,,
1998,India,Amartya Sen,Economics,,1,,,,,,
1913,India,Rabindranath Tagore,Literature,,,1,,,,,
2014,India,Malala Yousafzai,Peace,,,,,1,,,
1979,India,Anwar al-Sadat,Peace,,,,,1,,,
1930,India,Venkata Raman,Physics,,,,,,1,,
2003,Iran,Jimmy Carter,Peace,,,,,1,,,
1995,Ireland,Seamus Heaney,Literature,,,1,,,,,
1969,Ireland,Samuel Beckett,Literature,,,1,,,,,
1923,Ireland,William Butler Yeats,Literature,,,1,,,,,
2015,Ireland,William C. Campbell,Medicine,,,,1,,,,
1974,Ireland,Eisaku Sato,Peace,,,,,1,,,
1951,Ireland,Ernest T.S. Walton,Physics,,,,,,1,,
2013,Israel,Arieh Warshel,Chemistry,1,,,,,,,
2011,Israel,Dan Shechtman,Chemistry,1,,,,,,,
2009,Israel,Ada E. Yonath,Chemistry,1,,,,,,,
2004,Israel,Aaron Ciechanover,Chemistry,1,,,,,,,
2004,Israel,Avram Hershko,Chemistry,1,,,,,,,
2005,Israel,Robert J. Aumann,Economics,,1,,,,,,
1966,Israel,Samuel Agnon,Literature,,,1,,,,,
1994,Israel,Yitzhak Rabin,Peace,,,,,1,,,
1994,Israel,F.W. de Klerk,Peace,,,,,1,,,
1978,Israel,Amnesty International ,Peace,,,,,1,,,
1963,Italy,Giulio Natta,Chemistry,1,,,,,,,
1997,Italy,Dario Fo,Literature,,,1,,,,,
1975,Italy,Eugenio Montale,Literature,,,1,,,,,
1959,Italy,Salvatore Quasimodo,Literature,,,1,,,,,
1934,Italy,Luigi Pirandello,Literature,,,1,,,,,
1926,Italy,Grazia Deledda,Literature,,,1,,,,,
1906,Italy,Giosuè Carducci,Literature,,,1,,,,,
1986,Italy,Rita Levi-Montalcini,Medicine,,,,1,,,,
1957,Italy,Daniel Bovet,Medicine,,,,1,,,,
1906,Italy,Camillo Golgi,Medicine,,,,1,,,,
1907,Italy,Louis Renault,Peace,,,,,1,,,
1984,Italy,Carlo Rubbia,Physics,,,,,,1,,
1938,Italy,Enrico Fermi,Physics,,,,,,1,,
1909,Italy,Guglielmo Marconi,Physics,,,,,,1,,
2010,Japan,Akira Suzuki,Chemistry,1,,,,,,,
2002,Japan,Koichi Tanaka,Chemistry,1,,,,,,,
2001,Japan,Ryoji Noyori,Chemistry,1,,,,,,,
2000,Japan,Hideki Shirakawa,Chemistry,1,,,,,,,
1981,Japan,Kenichi Fukui,Chemistry,1,,,,,,,
1994,Japan,Kenzaburo Oe,Literature,,,1,,,,,
1968,Japan,Yasunari Kawabata,Literature,,,1,,,,,
2015,Japan,Satoshi _mura,Medicine,,,,1,,,,
2012,Japan,Shinya Yamanaka,Medicine,,,,1,,,,
1987,Japan,Susumu Tonegawa,Medicine,,,,1,,,,
1974,Japan,Henry Kissinger,Peace,,,,,1,,,
2015,Japan,Takaaki Kajita,Physics,,,,,,1,,
2014,Japan,Isamu Akasaki,Physics,,,,,,1,,
2014,Japan,Hiroshi Amano,Physics,,,,,,1,,
2014,Japan,Shuji Nakamura,Physics,,,,,,1,,
2008,Japan,Makoto Kobayashi,Physics,,,,,,1,,
2008,Japan,Toshihide Maskawa,Physics,,,,,,1,,
2002,Japan,Masatoshi Koshiba,Physics,,,,,,1,,
1973,Japan,Leo Esaki,Physics,,,,,,1,,
1965,Japan,Sin-Itiro Tomonaga,Physics,,,,,,1,,
1949,Japan,Hideki Yukawa,Physics,,,,,,1,,
2004,Kenya,Shirin Ebadi,Peace,,,,,1,,,
2011,Liberia,Leymah Gbowee,Peace,,,,,1,,,
2011,Liberia,Tawakkul Karman,Peace,,,,,1,,,
1990,Mexico,Octavio Paz,Literature,,,1,,,,,
1982,Mexico,Office of the United Nations High Commissioner for Refugees ,Peace,,,,,1,,,
1991,Myanmar,Mikhail Gorbachev,Peace,,,,,1,,,
1995,Netherlands,Paul J. Crutzen,Chemistry,1,,,,,,,
1936,Netherlands,Peter Debye,Chemistry,1,,,,,,,
1901,Netherlands,Jacobus H. van 't Hoff,Chemistry,1,,,,,,,
1969,Netherlands,Jan Tinbergen,Economics,,1,,,,,,
1929,Netherlands,Christiaan Eijkman,Medicine,,,,1,,,,
1924,Netherlands,Willem Einthoven,Medicine,,,,1,,,,
2013,Netherlands,European Union (EU) ,Peace,,,,,1,,,
1911,Netherlands,Alfred Fried,Peace,,,,,1,,,
1999,Netherlands,Gerardus t Hooft,Physics,,,,,,1,,
1999,Netherlands,Martinus J.G. Veltman,Physics,,,,,,1,,
1984,Netherlands,Simon van der Meer,Physics,,,,,,1,,
1953,Netherlands,Frits Zernike,Physics,,,,,,1,,
1913,Netherlands,Heike Kamerlingh Onnes,Physics,,,,,,1,,
1910,Netherlands,Johannes Diderik van der Waals,Physics,,,,,,1,,
1902,Netherlands,Pieter Zeeman,Physics,,,,,,1,,
1902,Netherlands,Hendrik A. Lorentz,Physics,,,,,,1,,
1986,Nigeria,Wole Soyinka,Literature,,,1,,,,,
1969,Norway,Odd Hassel,Chemistry,1,,,,,,,
2004,Norway,Finn E. Kydland,Economics,,1,,,,,,
1989,Norway,Trygve Haavelmo,Economics,,1,,,,,,
1969,Norway,Ragnar Frisch,Economics,,1,,,,,,
1928,Norway,Sigrid Undset,Literature,,,1,,,,,
1920,Norway,Knut Hamsun,Literature,,,1,,,,,
1903,Norway,Bjèrnstjerne Bjèrnson,Literature,,,1,,,,,
2014,Norway,May-Britt Moser,Medicine,,,,1,,,,
2014,Norway,Edvard Moser,Medicine,,,,1,,,,
1922,Norway,Hjalmar Branting,Peace,,,,,1,,,
1921,Norway,L_on Bourgeois,Peace,,,,,1,,,
2014,Pakistan,Malala Yousafzai,Peace,,,,,1,,,
2014,Pakistan,Kailash Satyarthi,Peace,,,,,1,,,
1979,Pakistan,Abdus Salam,Physics,,,,,,1,,
1994,Palestinian Territory,Shimon Peres,Peace,,,,,1,,,
2010,Peru,Mario Vargas Llosa,Literature,,,1,,,,,
1996,Poland,Wislawa Szymborska,Literature,,,1,,,,,
1980,Poland,Czeslaw Milosz,Literature,,,1,,,,,
1924,Poland,Wladyslaw Reymont,Literature,,,1,,,,,
1905,Poland,Henryk Sienkiewicz,Literature,,,1,,,,,
1983,Poland,Alva Myrdal,Peace,,,,,1,,,
1998,Portugal,Jos_ Saramago,Literature,,,1,,,,,
1949,Portugal,Egas Moniz,Medicine,,,,1,,,,
2007,Russia,Leonid Hurwicz,Economics,,1,,,,,,
1933,Russia,Ivan Bunin,Literature,,,1,,,,,
1908,Russia,Ilya Mechnikov,Medicine,,,,1,,,,
1904,Russia,Ivan Pavlov,Medicine,,,,1,,,,
2010,Russia,Andre Geim,Physics,,,,,,1,,
2010,Russia,Konstantin Novoselov,Physics,,,,,,1,,
2003,Russia,Vitaly L. Ginzburg,Physics,,,,,,1,,
2000,Russia,Zhores I. Alferov,Physics,,,,,,1,,
1992,Saint Lucia,Derek Walcott,Literature,,,1,,,,,
2003,South Africa,J.M. Coetzee,Literature,,,1,,,,,
1991,South Africa,Nadine Gordimer,Literature,,,1,,,,,
1951,South Africa,Max Theiler,Medicine,,,,1,,,,
1993,South Africa,Nelson Mandela,Peace,,,,,1,,,
1993,South Africa,Rigoberta MenchÒ Tum,Peace,,,,,1,,,
1984,South Africa,Lech Walesa,Peace,,,,,1,,,
1960,South Africa,Philip Noel-Baker,Peace,,,,,1,,,
2000,South Korea,Kim Dae-jung,Peace,,,,,1,,,
1956,Soviet Union,Nikolay Semenov,Chemistry,1,,,,,,,
1975,Soviet Union,Leonid Vitaliyevich Kantorovich,Economics,,1,,,,,,
1970,Soviet Union,Alexandr Solzhenitsyn,Literature,,,1,,,,,
1965,Soviet Union,Mikhail Sholokhov,Literature,,,1,,,,,
1958,Soviet Union,Boris Pasternak,Literature,,,1,,,,,
1990,Soviet Union,The 14th Dalai Lama ,Peace,,,,,1,,,
1975,Soviet Union,Se_n MacBride,Peace,,,,,1,,,
1978,Soviet Union,Pyotr Kapitsa,Physics,,,,,,1,,
1964,Soviet Union,Nicolay G. Basov,Physics,,,,,,1,,
1964,Soviet Union,Aleksandr M. Prokhorov,Physics,,,,,,1,,
1962,Soviet Union,Lev Landau,Physics,,,,,,1,,
1958,Soviet Union,Pavel A. Cherenkov,Physics,,,,,,1,,
1958,Soviet Union,Il‰ja M. Frank,Physics,,,,,,1,,
1958,Soviet Union,Igor Y. Tamm,Physics,,,,,,1,,
1989,Spain,Camilo Jos_ Cela,Literature,,,1,,,,,
1977,Spain,Vicente Aleixandre,Literature,,,1,,,,,
1956,Spain,Juan Ram‹n Jim_nez,Literature,,,1,,,,,
1922,Spain,Jacinto Benavente,Literature,,,1,,,,,
1904,Spain,Jos_ Echegaray,Literature,,,1,,,,,
1906,Spain,Santiago Ram‹n y Cajal,Medicine,,,,1,,,,
2015,Sweden,Tomas Lindahl,Chemistry,1,,,,,,,
1948,Sweden,Arne Tiselius,Chemistry,1,,,,,,,
1929,Sweden,Hans von Euler-Chelpin,Chemistry,1,,,,,,,
1926,Sweden,The Svedberg,Chemistry,1,,,,,,,
1903,Sweden,Svante Arrhenius,Chemistry,1,,,,,,,
1977,Sweden,Bertil Ohlin,Economics,,1,,,,,,
1974,Sweden,Gunnar Myrdal,Economics,,1,,,,,,
2011,Sweden,Tomas Transtr_mer,Literature,,,1,,,,,
1974,Sweden,Eyvind Johnson,Literature,,,1,,,,,
1974,Sweden,Harry Martinson,Literature,,,1,,,,,
1966,Sweden,Nelly Sachs,Literature,,,1,,,,,
1951,Sweden,P_r Lagerkvist,Literature,,,1,,,,,
1931,Sweden,Erik Axel Karlfeldt,Literature,,,1,,,,,
1916,Sweden,Verner von Heidenstam,Literature,,,1,,,,,
1909,Sweden,Selma Lagerl_f,Literature,,,1,,,,,
2000,Sweden,Arvid Carlsson,Medicine,,,,1,,,,
1982,Sweden,Sune K. Bergstr_m,Medicine,,,,1,,,,
1982,Sweden,Bengt I. Samuelsson,Medicine,,,,1,,,,
1981,Sweden,Torsten N. Wiesel,Medicine,,,,1,,,,
1970,Sweden,Ulf von Euler,Medicine,,,,1,,,,
1967,Sweden,Ragnar Granit,Medicine,,,,1,,,,
1955,Sweden,Hugo Theorell,Medicine,,,,1,,,,
1911,Sweden,Allvar Gullstrand,Medicine,,,,1,,,,
1982,Sweden,Alfonso Garcêa Robles,Peace,,,,,1,,,
1961,Sweden,Albert Lutuli,Peace,,,,,1,,,
1930,Sweden,Frank B. Kellogg,Peace,,,,,1,,,
1921,Sweden,Christian Lange,Peace,,,,,1,,,
1908,Sweden,Fredrik Bajer,Peace,,,,,1,,,
1981,Sweden,Kai M. Siegbahn,Physics,,,,,,1,,
1970,Sweden,Hannes Alfv_n,Physics,,,,,,1,,
1924,Sweden,Manne Siegbahn,Physics,,,,,,1,,
1912,Sweden,Gustaf Dal_n,Physics,,,,,,1,,
2002,Switzerland,Kurt Wªthrich,Chemistry,1,,,,,,,
1991,Switzerland,Richard R. Ernst,Chemistry,1,,,,,,,
1975,Switzerland,Vladimir Prelog,Chemistry,1,,,,,,,
1939,Switzerland,Leopold Ruzicka,Chemistry,1,,,,,,,
1937,Switzerland,Paul Karrer,Chemistry,1,,,,,,,
1913,Switzerland,Alfred Werner,Chemistry,1,,,,,,,
1946,Switzerland,Hermann Hesse,Literature,,,1,,,,,
1919,Switzerland,Carl Spitteler,Literature,,,1,,,,,
1996,Switzerland,Rolf M. Zinkernagel,Medicine,,,,1,,,,
1992,Switzerland,Edmond H. Fischer,Medicine,,,,1,,,,
1978,Switzerland,Werner Arber,Medicine,,,,1,,,,
1950,Switzerland,Tadeus Reichstein,Medicine,,,,1,,,,
1949,Switzerland,Walter Hess,Medicine,,,,1,,,,
1948,Switzerland,Paul Mªller,Medicine,,,,1,,,,
1909,Switzerland,Theodor Kocher,Medicine,,,,1,,,,
2007,Switzerland,Muhammad Yunus,Peace,,,,,1,,,
1981,Switzerland,Adolfo P_rez Esquivel,Peace,,,,,1,,,
1969,Switzerland,Ren_ Cassin,Peace,,,,,1,,,
1963,Switzerland,League of Red Cross Societies ,Peace,,,,,1,,,
1963,Switzerland,Linus Pauling,Peace,,,,,1,,,
1954,Switzerland,George C. Marshall,Peace,,,,,1,,,
1944,Switzerland,Nansen International Office for Refugees ,Peace,,,,,1,,,
1938,Switzerland,Robert Cecil,Peace,,,,,1,,,
1917,Switzerland,Henri La Fontaine,Peace,,,,,1,,,
1910,Switzerland,Auguste Beernaert,Peace,,,,,1,,,
1902,Switzerland,Albert Gobat,Peace,,,,,1,,,
1902,Switzerland,Henry Dunant,Peace,,,,,1,,,
1901,Switzerland,Fr_d_ric Passy,Peace,,,,,1,,,
1987,Switzerland,K. Alex Mªller,Physics,,,,,,1,,
1986,Switzerland,Heinrich Rohrer,Physics,,,,,,1,,
1920,Switzerland,Charles Edouard Guillaume,Physics,,,,,,1,,
1996,Timor Leste,Jos_ Ramos-Horta,Peace,,,,,1,,,
1996,Timor Leste,Joseph Rotblat,Peace,,,,,1,,,
2015,Tunisia,Kailash Satyarthi,Peace,,,,,1,,,
2015,Turkey,Aziz Sancar,Chemistry,1,,,,,,,
